City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
258,Wentzville,US,38.81,-90.85,55.99,60,0,1.01,clear sky
259,Kutum,SD,14.2,24.67,72.09,33,53,10.51,broken clouds
260,Tshikapa,CD,-6.42,20.8,69.28,93,94,0.81,overcast clouds
261,Channagiri,IN,14.03,75.93,67.46,80,0,3.65,clear sky
262,Havoysund,NO,71.0,24.66,39.2,69,0,17.22,clear sky
263,Pemba,MZ,-12.97,40.52,73.4,88,20,4.7,few clouds
264,Tiksi,RU,71.69,128.87,-0.81,92,86,6.76,overcast clouds
265,Sao Filipe,CV,14.9,-24.5,79.57,68,82,9.82,broken clouds
266,Nelson Bay,AU,-32.72,152.15,71.01,64,75,13.87,broken clouds
267,Namibe,AO,-15.2,12.15,76.41,73,98,7.2,overcast clouds
268,Tura,IN,25.52,90.22,71.49,93,98,0.78,overcast clouds
269,Tasiilaq,GL,65.61,-37.64,32.0,95,100,8.05,overcast clouds
270,Ilulissat,GL,69.22,-51.1,21.2,73,100,11.41,light snow
271,Tongliao,CN,43.61,122.27,44.19,54,0,17.49,clear sky
272,Nalut,LY,30.33,10.85,55.26,86,0,9.22,clear sky
273,Khandbari,NP,27.37,87.2,64.65,36,23,3.51,few clouds
274,Makat,KZ,47.65,53.35,45.82,61,0,12.64,clear sky
275,Burnie,AU,-41.07,145.92,62.01,56,76,5.99,broken clouds
276,General Roca,AR,-39.03,-67.58,78.8,29,0,4.7,clear sky
277,Ternate,ID,0.8,127.4,84.11,73,100,9.91,overcast clouds
278,Dicabisagan,PH,17.08,122.42,78.82,86,100,15.43,moderate rain
279,Jacareacanga,BR,-6.22,-57.75,81.32,59,97,1.16,overcast clouds
280,Pringsewu,ID,-5.36,104.97,80.67,75,69,4.29,broken clouds
281,San Patricio,US,28.02,-97.52,71.6,60,20,11.41,few clouds
282,Port Shepstone,ZA,-30.74,30.45,63.64,81,100,4.61,light rain
283,Maraba,BR,-5.37,-49.12,78.24,77,0,2.17,clear sky
284,Khuzdar,PK,27.74,66.64,52.09,35,0,2.95,clear sky
285,Nikolayevskaya,RU,47.61,41.5,52.75,89,100,6.06,overcast clouds
286,San Cristobal,VE,7.77,-72.22,68.34,92,100,1.21,moderate rain
287,Port Elizabeth,ZA,-33.92,25.57,64.4,82,75,8.05,broken clouds
288,Manakara,MG,-22.13,48.02,63.0,84,100,3.38,overcast clouds
289,Praia,CV,14.92,-23.51,75.2,78,0,18.34,clear sky
290,Hofn,IS,64.25,-15.21,42.98,64,100,18.39,overcast clouds
291,Airai,TL,-8.93,125.41,75.69,37,0,3.24,clear sky
292,Kabanjahe,ID,3.1,98.49,65.93,91,100,0.63,light rain
293,Lebu,CL,-37.62,-73.65,51.26,92,80,6.31,broken clouds
294,Thompson,CA,55.74,-97.86,15.8,72,75,5.82,broken clouds
295,Snezhnogorsk,RU,69.19,33.25,30.2,86,75,4.47,broken clouds
296,Ajdabiya,LY,30.76,20.23,64.35,68,0,7.27,clear sky
297,Saint-Francois,FR,46.42,3.91,51.8,93,0,8.05,clear sky
298,Kirensk,RU,57.79,108.11,10.65,92,77,4.74,broken clouds
299,Jaclupan,PH,10.3,123.82,82.4,78,90,9.17,overcast clouds
300,Torbay,CA,47.67,-52.73,34.0,86,75,20.8,broken clouds
301,Varia,FR,44.57,-0.11,55.99,93,0,3.36,clear sky
302,Bogotol,RU,56.21,89.53,31.19,99,100,10.45,overcast clouds
303,Ballina,AU,-28.87,153.57,82.99,44,0,11.41,clear sky
304,Ambilobe,MG,-13.2,49.05,68.85,68,41,3.85,scattered clouds
305,Geraldton,AU,-28.77,114.6,60.8,93,75,11.41,shower rain
306,Bend,US,44.06,-121.32,53.6,34,1,5.82,clear sky
307,Vestmannaeyjar,IS,63.44,-20.27,41.04,72,0,9.22,clear sky
308,Adilcevaz,TR,38.8,42.73,55.4,24,40,9.17,scattered clouds
309,Chontalpa,MX,17.7,-93.52,68.09,96,100,4.03,overcast clouds
310,Aldan,RU,58.6,125.39,-6.43,91,100,2.37,overcast clouds
311,Yerbogachen,RU,61.28,108.01,1.22,92,0,2.1,clear sky
312,Chuy,UY,-33.7,-53.46,52.79,85,0,4.0,clear sky
313,Kalmunai,LK,7.42,81.82,78.46,83,78,6.62,broken clouds
314,Masty,BY,53.41,24.54,41.7,94,8,2.89,clear sky
315,Tharad,IN,24.4,71.63,70.05,30,0,2.53,clear sky
316,Port Hardy,CA,50.7,-127.42,50.0,76,90,5.82,overcast clouds
317,Dao,PH,11.39,122.69,80.11,84,100,7.7,moderate rain
318,Diffa,NE,13.32,12.61,77.25,27,0,10.11,clear sky
319,Lagoa,PT,39.05,-27.98,68.34,93,100,26.17,overcast clouds
320,Bodden Town,KY,19.28,-81.25,84.2,74,40,12.75,scattered clouds
321,Raahe,FI,64.68,24.48,35.6,93,90,9.17,light rain
322,Igrim,RU,63.19,64.42,29.14,96,0,7.81,clear sky
323,Cap Malheureux,MU,-19.98,57.61,68.0,72,40,9.17,shower rain
324,Bokoro,TD,12.38,17.06,81.18,21,2,11.54,clear sky
325,Nuuk,GL,64.18,-51.72,23.0,85,100,9.17,light snow
326,Ugoofaaru,MV,5.67,73.0,82.13,68,0,3.98,clear sky
327,Erenhot,CN,43.65,111.98,30.25,75,76,8.21,broken clouds
328,Waingapu,ID,-9.66,120.26,86.47,57,28,1.43,scattered clouds
329,Ketchikan,US,55.34,-131.65,50.0,100,90,17.22,heavy intensity rain
330,Mastic Beach,US,40.77,-72.85,42.8,80,20,10.22,few clouds
331,Dedza,MW,-14.38,34.33,57.96,90,0,4.54,clear sky
332,Rongcheng,CN,30.63,117.85,61.9,76,92,1.14,light rain
333,Klaksvik,FO,62.23,-6.59,44.6,100,92,33.33,light rain
334,Susaki,JP,33.37,133.28,64.4,63,75,9.17,broken clouds
335,Saint Anthony,US,45.02,-93.22,44.6,48,40,19.46,scattered clouds
336,Amapa,BR,1.0,-52.0,78.94,73,0,4.27,clear sky
337,Narkevychi,UA,49.52,26.64,41.63,93,98,14.61,overcast clouds
338,Vila,PT,42.03,-8.16,59.0,94,100,5.99,overcast clouds
339,Hambantota,LK,6.12,81.12,75.2,100,90,2.24,mist
340,Bud,US,39.45,-86.18,52.0,62,1,6.93,clear sky
341,Talcahuano,CL,-36.72,-73.12,55.4,87,90,4.7,overcast clouds
342,Ahipara,NZ,-35.17,173.17,69.85,63,19,4.43,few clouds
343,Nouadhibou,MR,20.93,-17.03,68.0,77,0,10.29,clear sky
344,Aswan,EG,24.09,32.91,72.7,57,0,8.05,clear sky
345,Beckley,US,37.78,-81.19,46.4,65,1,11.41,clear sky
346,Palana,RU,59.12,159.97,34.27,85,100,4.09,overcast clouds
347,Jardim,BR,-21.48,-56.14,69.21,86,1,4.76,clear sky
348,Rakiv Lis,UA,51.62,24.92,40.01,95,0,5.23,clear sky
349,Dabat,ET,12.98,37.77,50.99,65,0,2.91,clear sky
350,Kem,RU,64.96,34.58,29.66,93,0,9.62,clear sky
351,Saskylakh,RU,71.92,114.08,-5.98,86,0,8.23,clear sky
352,Lavrentiya,RU,65.58,-171.0,22.33,90,0,8.14,clear sky
353,La Cruz,MX,23.92,-106.9,80.01,73,0,4.0,clear sky
354,Port Hedland,AU,-20.32,118.57,87.8,43,0,8.05,clear sky
355,Menzelinsk,RU,55.73,53.1,37.4,100,90,6.71,fog
356,Pizarro,CO,4.95,-77.37,77.47,89,100,7.49,moderate rain
357,Maldonado,UY,-34.67,-54.92,55.4,87,0,4.7,clear sky
358,Comodoro Rivadavia,AR,-45.87,-67.5,59.0,77,0,2.24,clear sky
359,Moron,AR,-34.65,-58.62,64.0,58,0,1.01,clear sky
360,Bathsheba,BB,13.22,-59.52,78.8,88,20,9.17,few clouds
361,Svetlaya,RU,46.54,138.33,48.9,59,100,8.79,overcast clouds
362,Cabo San Lucas,MX,22.89,-109.91,82.4,74,20,9.17,few clouds
363,Koluszki,PL,51.74,19.82,41.0,93,90,4.7,overcast clouds
